UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1044,"R",1301,"R",80,"R",1044,"R",0,"R",1044,"R",718,"R",69,"R",2,"R",0,"R",2,"R",1,"R",50,"R",14
100663,"R",1497,"R",2723,"R",55,"R",1247,"Z",0,"R",1247,"R",1017,"R",82,"R",30,"Z",0,"R",30,"R",17,"R",57,"R",17
100690,"R",4,"R",4,"R",100,"R",9,"R",0,"R",9,"R",9,"R",100,"R",3,"R",0,"R",3,"R",3,"R",100,"R",10
100706,"R",774,"R",1682,"R",46,"R",765,"R",0,"R",765,"R",578,"R",76,"R",31,"R",0,"R",31,"R",14,"R",45,"R",17
100724,"R",1209,"R",1413,"R",86,"R",1329,"R",0,"R",1329,"R",709,"R",53,"R",49,"Z",0,"R",49,"R",13,"R",27,"R",17
100751,"R",5096,"R",6487,"R",79,"R",5034,"R",24,"R",5010,"R",4183,"R",83,"R",82,"R",0,"R",82,"R",40,"R",49,"R",20
100760,"R",594,"R",914,"R",65,"R",446,"R",0,"R",446,"R",141,"R",32,"R",50,"R",0,"R",50,"R",24,"R",48,"R",15
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
100830,"R",737,"R",1221,"R",60,"R",712,"R",0,"R",712,"R",411,"R",58,"R",109,"R",0,"R",109,"R",45,"R",41,"R",18
100858,"R",3898,"R",5256,"R",74,"R",3959,"R",0,"R",3959,"R",3412,"R",86,"R",25,"R",0,"R",25,"R",16,"R",64,"R",18
100937,"R",424,"R",462,"R",92,"R",451,"R",0,"R",451,"R",365,"R",81,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
101028,"R",281,"R",787,"R",36,"R",255,"R",0,"R",255,"R",171,"R",67,"R",94,"R",0,"R",94,"R",5,"R",5,"R",19
101073,"R",124,"R",145,"R",86,"R",286,"R",89,"R",197,"R",75,"R",38,"R",61,"R",31,"R",30,"R",2,"R",7,"R",22
101116,"R",59,"R",214,"R",28,"R",20,"R",0,"R",20,"R",9,"R",45,"R",13,"R",0,"R",13,"R",5,"R",38,"R",14
101143,"R",553,"R",1209,"R",46,"R",461,"R",0,"R",461,"R",300,"R",65,"R",74,"R",0,"R",74,"R",24,"R",32,"R",17
101161,"R",1070,"R",1933,"R",55,"R",869,"R",61,"R",808,"R",526,"R",65,"R",165,"R",30,"R",135,"R",65,"R",48,"R",28
101189,"R",344,"R",742,"R",46,"R",231,"R",0,"R",231,"R",160,"R",69,"R",106,"R",0,"R",106,"R",74,"R",70,"R",14
101240,"R",1573,"R",2705,"R",58,"R",1307,"R",0,"R",1307,"R",722,"R",55,"R",232,"R",0,"R",232,"R",106,"R",46,"R",22
101286,"R",973,"R",1775,"R",55,"R",802,"R",0,"R",802,"R",503,"R",63,"R",166,"R",0,"R",166,"R",77,"R",46,"R",25
101295,"R",1108,"R",2343,"R",47,"R",1026,"R",2,"R",1024,"R",623,"R",61,"R",160,"R",0,"R",160,"R",82,"R",51,"R",23
101301,"R",462,"R",757,"R",61,"R",394,"R",0,"R",394,"R",221,"R",56,"R",82,"R",0,"R",82,"R",28,"R",34,"R",23
101365,"R",34,"R",107,"R",32,"R",34,"R",0,"R",34,"R",23,"R",68,"R",18,"R",0,"R",18,"R",8,"R",44,"R",13
101435,"R",237,"R",363,"R",65,"R",253,"R",0,"R",253,"R",160,"R",63,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
101453,"R",4,"R",11,"R",36,"R",2,"R",0,"R",2,"R",1,"R",50,"R",2,"R",0,"R",2,"R",1,"R",50,"R",9
101462,"R",240,"R",671,"R",36,"R",176,"Z",0,"R",176,"R",83,"R",47,"R",50,"Z",0,"R",50,"R",15,"R",30,"R",16
101471,"R",279,"R",307,"R",91,"R",306,"R",0,"R",306,"R",125,"R",41,"R",6,"R",0,"R",6,"R",3,"R",50,"R",13
101480,"R",1220,"R",1961,"R",62,"R",1243,"R",0,"R",1243,"R",846,"R",68,"R",56,"R",0,"R",56,"R",24,"R",43,"R",20
101499,"R",323,"R",648,"R",50,"R",306,"R",0,"R",306,"R",146,"R",48,"R",64,"R",0,"R",64,"R",34,"R",53,"R",18
101505,"R",1035,"R",3390,"R",31,"R",1076,"R",1,"R",1075,"R",588,"R",55,"R",469,"R",1,"R",468,"R",178,"R",38,"R",20
101514,"R",1405,"R",3680,"R",38,"R",1219,"Z",0,"R",1219,"R",767,"R",63,"R",530,"Z",0,"R",530,"R",264,"R",50,"R",26
101541,"R",68,"R",87,"R",78,"R",95,"R",1,"R",94,"R",60,"R",64,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",8
101569,"R",1014,"R",1813,"R",56,"R",768,"R",0,"R",768,"R",411,"R",54,"R",157,"R",0,"R",157,"R",86,"R",55,"R",23
101587,"R",243,"R",468,"R",52,"R",310,"R",0,"R",310,"R",203,"R",65,"R",11,"R",0,"R",11,"R",8,"R",73,"R",19
101602,"R",354,"R",635,"R",56,"R",279,"R",0,"R",279,"R",172,"R",62,"R",30,"R",0,"R",30,"R",8,"R",27,"R",20
101648,"R",254,"R",306,"R",83,"R",271,"R",3,"R",268,"R",110,"R",41,"R",0,"R",0,"R",0,"R",0,"A",,"R",22
101675,"R",407,"R",534,"R",76,"R",1289,"Z",0,"R",1289,"R",954,"R",74,"R",64,"Z",0,"R",64,"R",10,"R",16,"R",16
101693,"R",229,"R",399,"R",57,"R",248,"R",1,"R",247,"R",179,"R",72,"R",3,"R",0,"R",3,"R",3,"R",100,"R",12
101709,"R",409,"R",624,"R",66,"R",507,"R",0,"R",507,"R",399,"R",79,"R",11,"R",0,"R",11,"R",6,"R",55,"R",16
101736,"R",919,"R",1718,"R",53,"R",712,"R",0,"R",712,"R",423,"R",59,"R",151,"R",0,"R",151,"R",61,"R",40,"R",22
101879,"R",927,"R",1524,"R",61,"R",988,"R",0,"R",988,"R",701,"R",71,"R",27,"R",0,"R",27,"R",21,"R",78,"R",22
101897,"R",834,"R",1809,"R",46,"R",570,"R",0,"R",570,"R",382,"R",67,"R",135,"R",0,"R",135,"R",71,"R",53,"R",24
101912,"R",394,"R",473,"R",83,"R",485,"R",0,"R",485,"R",351,"R",72,"R",2,"R",0,"R",2,"R",1,"R",50,"R",13
101949,"R",390,"R",612,"R",64,"R",396,"R",0,"R",396,"R",65,"R",16,"R",41,"R",0,"R",41,"R",37,"R",90,"R",13
101958,"R",2,"R",22,"R",9,"R",2,"R",0,"R",2,"R",2,"R",100,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
101994,"R",159,"R",362,"R",44,"R",103,"R",0,"R",103,"R",61,"R",59,"R",19,"R",0,"R",19,"R",10,"R",53,"R",19
102030,"R",524,"R",1352,"R",39,"R",521,"R",0,"R",521,"R",262,"R",50,"R",132,"R",0,"R",132,"R",47,"R",36,"R",18
102049,"R",732,"R",868,"R",84,"R",708,"R",0,"R",708,"R",582,"R",82,"R",3,"R",0,"R",3,"R",3,"R",100,"R",12
102058,"N",2,"N",7,"N",29,"N",639,"N",0,"N",639,"N",639,"N",100,"N",2,"N",0,"N",2,"N",2,"N",100,"N",9
102067,"R",1072,"R",1838,"R",58,"R",1056,"Z",0,"R",1056,"R",610,"R",58,"R",206,"Z",0,"R",206,"R",119,"R",58,"R",29
102076,"R",602,"R",935,"R",64,"R",539,"Z",0,"R",539,"R",358,"R",66,"R",86,"Z",0,"R",86,"R",42,"R",49,"R",32
102094,"R",1753,"R",3058,"R",57,"R",1543,"R",0,"R",1543,"R",1035,"R",67,"R",74,"R",0,"R",74,"R",42,"R",57,"R",22
102234,"R",353,"R",395,"R",89,"R",343,"R",0,"R",343,"R",266,"R",78,"R",3,"R",0,"R",3,"R",0,"R",0,"R",13
102261,"R",32,"R",66,"R",48,"R",14,"R",0,"R",14,"R",7,"R",50,"R",1,"R",0,"R",1,"R",0,"R",0,"R",14
102270,"R",431,"R",488,"R",88,"R",485,"R",0,"R",485,"R",265,"R",55,"R",8,"R",0,"R",8,"R",5,"R",63,"R",19
102298,"R",204,"R",263,"R",78,"R",224,"R",0,"R",224,"R",120,"R",54,"R",27,"R",0,"R",27,"R",4,"R",15,"R",18
102313,"R",384,"R",687,"R",56,"R",219,"Z",0,"R",219,"R",139,"R",63,"R",114,"Z",0,"R",114,"R",51,"R",45,"R",13
102368,"R",1997,"R",5991,"R",33,"R",1827,"R",0,"R",1827,"R",1313,"R",72,"R",1081,"R",0,"R",1081,"R",811,"R",75,"R",22
102377,"R",689,"R",824,"R",84,"R",723,"R",0,"R",723,"R",470,"R",65,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
102395,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",16
102429,"R",937,"R",1780,"R",53,"R",747,"R",0,"R",747,"R",451,"R",60,"R",190,"R",0,"R",190,"R",90,"R",47,"R",19
102553,"R",1519,"R",3180,"R",48,"R",923,"R",0,"R",923,"R",677,"R",73,"R",166,"R",0,"R",166,"R",88,"R",53,"R",15
102614,"R",827,"R",2499,"R",33,"R",394,"R",0,"R",394,"R",316,"R",80,"R",30,"R",0,"R",30,"R",16,"R",53,"R",12
102632,"R",191,"R",938,"R",20,"R",109,"R",0,"R",109,"R",67,"R",61,"R",14,"R",0,"R",14,"R",6,"R",43,"R",12
102669,"R",27,"R",206,"R",13,"R",65,"R",0,"R",65,"R",48,"R",74,"R",1,"R",0,"R",1,"R",0,"R",0,"R",8
