UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FT_GD,PT_UG,PT_FTUG,PT_GD,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT
100636,1,1,-2,0,0,0,1,1,0,-2,0,0,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,0,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",0,"A",.,1,1,2,1,1,2,2,1,"R",20000,2,"A",.,"A",.,"A",.,"R",0,1,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,1,"A",.
100654,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,0,0,2,1,2,1,2,3,2,1,1,3,2,"R",2273,"R",3432,"R",1059,"R",1637,"R",505,"R",537,"R",2,"R",6,2,"R",99,"R",10,"R",716,"R",73,"R",400,"R",470,"R",380,"R",470,"R",380,"R",460,"R",16,"R",19,"R",15,"R",20,"R",15,"R",18,"B",.,"B",.,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,-2,1,"R",30,"R",45,1,1,1,1,1,1,1,1,"R",3292,1,"R",21,"R",3090,"R",2260,"A",.,2,"R",507,"R",543,"R",1050,"R",5705,"R",2696,"R",1042,"R",8,1,0,0,1,0,1,"A",.
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,1,1,1,1,1,0,1,1,0,2,1,3,1,1,3,3,1,3,3,2,"R",1857,"R",2561,"R",1567,"R",2125,"R",678,"R",819,"R",6,"R",14,2,"R",92,"R",6,"R",1411,"R",93,"R",480,"R",630,"R",500,"R",650,"B",.,"B",.,"R",21,"R",27,"R",21,"R",28,"R",19,"R",26,"B",.,"B",.,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,-2,1,"R",30,"R",35,1,1,1,1,1,1,1,1,"R",2200,2,"A",.,"R",4492,"R",3650,"A",.,2,"R",684,"R",833,"R",1517,"R",4418,"R",3692,"R",1497,"R",20,1,0,0,1,0,1,"A",.
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,1,1,0,2,1,3,3,3,3,1,2,1,2,2,"R",1,"R",7,"R",1,"R",6,"R",1,"R",6,"R",0,"R",0,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",75,"R",75,1,1,1,1,1,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",1,"R",6,"R",7,"R",8,"R",7,"R",7,"R",0,2,0,0,0,0,1,"A",.
100706,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,1,0,2,1,2,1,1,3,3,1,1,3,2,"R",999,"R",925,"R",733,"R",654,"R",417,"R",358,"R",12,"R",15,2,"R",171,"R",21,"R",740,"R",92,"R",500,"R",630,"R",520,"R",640,"B",.,"B",.,"R",22,"R",28,"R",22,"R",29,"R",21,"R",27,"B",.,"B",.,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,-2,1,"R",30,"R",40,1,1,1,1,1,1,1,1,"R",1280,2,"A",.,"R",5084,"R",2124,"A",.,1,"R",429,"R",373,"R",802,"R",1924,"R",1387,"R",775,"R",27,1,0,0,1,0,1,"A",.
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,1,3,1,2,3,3,2,1,4,1,"R",3574,"R",4936,"R",1593,"R",2343,"R",610,"R",719,"R",28,"R",21,1,"R",269,"R",19,"R",1138,"R",82,"R",360,"R",440,"R",360,"R",450,"B",.,"B",.,"R",15,"R",18,"R",13,"R",19,"R",15,"R",17,"B",.,"B",.,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,1,"R",25,"R",10,1,1,1,1,1,1,1,1,"R",2009,1,"R",19,"R",2430,"R",1970,"A",.,2,"R",638,"R",740,"R",1378,"R",8510,"R",3936,"R",1329,"R",49,2,0,0,0,0,1,"A",.
100733,1,1,1,1,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,"A",.
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,1,2,1,1,2,2,1,1,3,2,"R",8339,"R",10628,"R",4935,"R",6198,"R",2354,"R",2774,"R",9,"R",11,2,"R",1797,"R",35,"R",4305,"R",84,"R",490,"R",620,"R",500,"R",620,"B",.,"B",.,"R",21,"R",28,"R",21,"R",29,"R",20,"R",27,"R",6,"R",8,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,-2,1,"R",40,"R",50,1,1,1,1,1,1,1,1,"R",8015,2,"A",.,"R",4400,"R",2494,"A",.,1,"R",2363,"R",2785,"R",5148,"R",18967,"R",11133,"R",5128,"R",20,1,0,0,1,0,1,"A",.
100760,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",0,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,0,1,"A",.
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",30,"A",.,1,2,2,1,2,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,1,"A",.
